model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.25, 'poly', 5, 'auto', -0.5)",0.7052474929790877,0.8378662567579731
svc,"(1.25, 'poly', 5, 'auto', 0.5)",0.6911720058565247,0.8277937990958328
svc,"(1.25, 'sigmoid', 3, 0.15, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'sigmoid', 3, 0.15, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'sigmoid', 3, 0.15, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'poly', 4, 0.3, 0.5)",0.6899439764297395,0.8035699451192431
svc,"(1.25, 'poly', 4, 0.3, -0.5)",0.6869666758105515,0.8020025526846513
svc,"(1.25, 'poly', 4, 0.3, 0.0)",0.6821061128538516,0.797161589755632
svc,"(1.0, 'poly', 2, 0.3, -0.5)",0.7099735671127818,0.8412000024973666
svc,"(1.0, 'poly', 2, 0.3, 0.0)",0.7099735671127818,0.8412000024973666
svc,"(1.0, 'poly', 2, 0.3, 0.5)",0.7099735671127818,0.8412000024973666
svc,"(1.0, 'sigmoid', 3, 0.3, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 4, 0.3, 0.5)",0.6899439764297395,0.8035699451192431
svc,"(0.75, 'poly', 4, 0.3, -0.5)",0.6882596971384058,0.8031838516263536
svc,"(0.75, 'poly', 4, 0.3, 0.0)",0.6821061128538516,0.797161589755632
svc,"(1.5, 'poly', 3, 0.3, 0.5)",0.7193057890101243,0.8244804005641626
svc,"(1.5, 'poly', 3, 0.3, -0.5)",0.7157045648439642,0.8219347012169265
svc,"(1.5, 'poly', 3, 0.3, 0.0)",0.7048622207838291,0.8134314411631438
svc,"(1.0, 'sigmoid', 3, 0.3, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'sigmoid', 3, 0.3, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'rbf', 3, 0.3, 0)",0.7326716342412927,0.8445501807307088
svc,"(1.0, 'poly', 1, 0.3, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 0.3, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 0.3, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 5, 0.35, -0.5)",0.685577805717823,0.8001305704641167
svc,"(1.0, 'poly', 5, 0.35, 0.0)",0.6958629829458299,0.8075113981884346
svc,"(1.0, 'poly', 5, 0.35, 0.5)",0.6966160429621768,0.8095352286734039
svc,"(1.25, 'poly', 2, 'auto', 0.0)",0.7171988780616609,0.8479010709495318
svc,"(1.25, 'poly', 2, 'auto', -0.5)",0.7161416690498731,0.8475788231279199
svc,"(1.25, 'poly', 2, 'auto', 0.5)",0.7135280367624128,0.8444513762302106
svc,"(0.5, 'rbf', 3, 0.2, 0)",0.7098134830833445,0.8396660162507453
svc,"(0.5, 'sigmoid', 3, 'scale', 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 'scale', -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 'scale', 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 3, 0.3, 0.5)",0.7160696503067704,0.825365864923849
svc,"(0.75, 'poly', 3, 0.3, -0.5)",0.7333848400178135,0.8346099862808651
svc,"(0.75, 'poly', 3, 0.3, 0.0)",0.7254963634738124,0.8294909131702682
svc,"(1.25, 'poly', 5, 'scale', 0.5)",0.6882177303662174,0.8040336724378462
svc,"(1.25, 'poly', 5, 'scale', 0.0)",0.6845958711805448,0.8005375739018123
svc,"(1.25, 'poly', 5, 'scale', -0.5)",0.6981795366932773,0.8104233750033552
svc,"(1.25, 'rbf', 3, 0.2, 0)",0.730706626199314,0.8430675384249198
svc,"(1.5, 'sigmoid', 3, 0.2, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'rbf', 3, 'auto', 0)",0.6989200659482234,0.8363761349471083
svc,"(1.5, 'sigmoid', 3, 0.2, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'sigmoid', 3, 0.2, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 2, 0.25, 0.0)",0.719209784702697,0.8422348257405
svc,"(0.75, 'poly', 2, 0.25, 0.5)",0.719209784702697,0.8422348257405
svc,"(0.75, 'poly', 2, 0.25, -0.5)",0.719209784702697,0.8422348257405
svc,"(0.5, 'poly', 3, 0.35, 0.5)",0.7308925651686784,0.8333677162876193
svc,"(0.5, 'poly', 3, 0.35, 0.0)",0.7251379241403966,0.8291769110027016
svc,"(0.5, 'poly', 3, 0.35, -0.5)",0.7280025188542756,0.8314674471124459
svc,"(1.5, 'rbf', 3, 0.2, 0)",0.7213004384107717,0.8415494737509998
svc,"(0.75, 'sigmoid', 3, 'auto', 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'sigmoid', 3, 'auto', 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 2, 'auto', 0.0)",0.7139883399572468,0.8459939055476668
svc,"(0.75, 'poly', 2, 'auto', -0.5)",0.7139883399572468,0.8459939055476668
svc,"(0.75, 'poly', 2, 'auto', 0.5)",0.7139883399572468,0.8459939055476668
svc,"(1.5, 'poly', 1, 'auto', 0.0)",0.691241682280578,0.8315048780393874
svc,"(1.5, 'poly', 1, 'auto', -0.5)",0.691241682280578,0.8315048780393874
svc,"(0.75, 'poly', 2, 'scale', -0.5)",0.7199590011220166,0.8425776887305196
svc,"(0.75, 'poly', 2, 'scale', 0.0)",0.7199590011220166,0.8425776887305196
svc,"(0.75, 'poly', 2, 'scale', 0.5)",0.7199590011220166,0.8425776887305196
svc,"(0.5, 'poly', 1, 0.35, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(0.5, 'poly', 1, 0.35, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(0.5, 'poly', 1, 0.35, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.5, 'poly', 1, 'auto', 0.5)",0.691241682280578,0.8315048780393874
svc,"(0.75, 'sigmoid', 3, 'auto', -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 0.25, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 0.25, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 0.25, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'poly', 3, 0.15, -0.5)",0.72548931543584,0.8450130827786401
svc,"(0.5, 'poly', 3, 0.15, 0.0)",0.7245421642343284,0.8446730610172473
svc,"(0.5, 'poly', 3, 0.15, 0.5)",0.7245421642343284,0.8446730610172473
svc,"(0.75, 'poly', 4, 0.2, -0.5)",0.7015732527770725,0.8140390698868147
svc,"(0.75, 'poly', 4, 0.2, 0.0)",0.683745828849377,0.7979337541897438
svc,"(0.75, 'poly', 4, 0.2, 0.5)",0.6671601499178217,0.7844343170447078
svc,"(1.25, 'poly', 4, 0.35, -0.5)",0.6976380463648523,0.8104429992234897
svc,"(1.25, 'poly', 4, 0.35, 0.0)",0.694247625896562,0.8074343189348336
svc,"(1.25, 'poly', 4, 0.35, 0.5)",0.693447155116954,0.8050734149973344
svc,"(0.5, 'poly', 1, 0.15, -0.5)",0.7143762906473896,0.8454435168802255
svc,"(0.5, 'poly', 1, 0.15, 0.0)",0.7143762906473896,0.8454435168802255
svc,"(0.5, 'poly', 1, 0.15, 0.5)",0.7143762906473896,0.8454435168802255
svc,"(1.0, 'poly', 2, 0.35, -0.5)",0.710527459245902,0.8415272154909467
svc,"(1.0, 'poly', 2, 0.35, 0.0)",0.710527459245902,0.8415272154909467
svc,"(1.0, 'poly', 2, 0.35, 0.5)",0.710527459245902,0.8415272154909467
svc,"(0.5, 'sigmoid', 3, 'auto', -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 'auto', 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.5, 'sigmoid', 3, 'auto', 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'sigmoid', 3, 0.35, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'sigmoid', 3, 0.35, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'poly', 2, 0.3, -0.5)",0.7128814394558721,0.8430384062291529
svc,"(1.5, 'poly', 2, 0.3, 0.0)",0.7128814394558721,0.8430384062291529
svc,"(1.5, 'poly', 2, 0.3, 0.5)",0.7128814394558721,0.8430384062291529
svc,"(0.75, 'poly', 1, 'auto', 0.0)",0.6584050527150398,0.8120922191743363
svc,"(0.75, 'poly', 1, 'auto', -0.5)",0.6584050527150398,0.8120922191743363
svc,"(0.75, 'poly', 1, 'auto', 0.5)",0.6584050527150398,0.8120922191743363
svc,"(1.25, 'poly', 3, 0.2, 0.0)",0.7398846633934848,0.842647013140194
svc,"(1.25, 'poly', 3, 0.2, 0.5)",0.7371183872970088,0.8404867682570731
svc,"(1.25, 'poly', 3, 0.2, -0.5)",0.7395844569555533,0.842173237689601
svc,"(1.0, 'poly', 1, 0.2, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 0.2, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 'auto', 0.0)",0.6796274135391888,0.8252743887672678
svc,"(1.0, 'poly', 1, 'auto', -0.5)",0.6796274135391888,0.8252743887672678
svc,"(1.0, 'poly', 1, 'auto', 0.5)",0.6796274135391888,0.8252743887672678
svc,"(1.0, 'poly', 1, 0.2, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.25, 'poly', 4, 0.15, -0.5)",0.6860797317951963,0.8019026869691163
svc,"(1.25, 'poly', 4, 0.15, 0.0)",0.6994910818919293,0.8117206812991767
svc,"(1.25, 'poly', 4, 0.15, 0.5)",0.7010890140276873,0.8119821811166896
svc,"(0.5, 'rbf', 3, 'auto', 0)",0.6760129831306088,0.8224949185044814
svc,"(1.0, 'poly', 2, 0.15, -0.5)",0.6943609147519983,0.830478970015988
svc,"(1.0, 'poly', 2, 0.15, 0.0)",0.6943609147519983,0.830478970015988
svc,"(1.0, 'poly', 2, 0.15, 0.5)",0.6943609147519983,0.830478970015988
svc,"(0.5, 'rbf', 3, 'scale', 0)",0.7092212880670834,0.8383480563242603
svc,"(1.0, 'rbf', 3, 0.35, 0)",0.717857991983533,0.8388600134879897
svc,"(1.0, 'sigmoid', 3, 0.15, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'sigmoid', 3, 0.15, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'sigmoid', 3, 0.15, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.0, 'poly', 4, 0.3, 0.5)",0.6899439764297395,0.8035699451192431
svc,"(1.0, 'poly', 4, 0.3, -0.5)",0.6869666758105515,0.8020025526846513
svc,"(1.0, 'poly', 4, 0.3, 0.0)",0.6821061128538516,0.797161589755632
svc,"(0.75, 'rbf', 3, 0.15, 0)",0.732177963783945,0.8448868999751228
svc,"(1.5, 'sigmoid', 3, 'auto', -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'sigmoid', 3, 'auto', 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'sigmoid', 3, 'auto', 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'rbf', 3, 'scale', 0)",0.7219584406204125,0.8418240494171888
svc,"(1.0, 'rbf', 3, 0.15, 0)",0.732177963783945,0.8448868999751228
svc,"(0.75, 'sigmoid', 3, 0.25, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'sigmoid', 3, 0.25, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'sigmoid', 3, 0.25, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.5, 'poly', 4, 0.35, -0.5)",0.6976380463648523,0.8104429992234897
svc,"(1.5, 'poly', 4, 0.35, 0.0)",0.694247625896562,0.8074343189348336
svc,"(1.5, 'poly', 4, 0.35, 0.5)",0.693447155116954,0.8050734149973344
svc,"(0.5, 'rbf', 3, 0.25, 0)",0.7110096160738542,0.8402473234230271
svc,"(1.5, 'poly', 1, 'scale', 0.0)",0.710862214959239,0.8420369510770556
svc,"(1.5, 'poly', 1, 'scale', 0.5)",0.710862214959239,0.8420369510770556
svc,"(1.5, 'poly', 1, 'scale', -0.5)",0.710862214959239,0.8420369510770556
svc,"(0.75, 'sigmoid', 3, 'scale', 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'sigmoid', 3, 'scale', -0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'sigmoid', 3, 'scale', 0.0)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'poly', 3, 0.35, 0.5)",0.7297600750449138,0.832717942333908
svc,"(0.75, 'poly', 3, 0.35, 0.0)",0.7362799766359909,0.8347945306207882
svc,"(0.75, 'poly', 3, 0.35, -0.5)",0.7233432716219664,0.8313792203927702
svc,"(1.0, 'poly', 2, 'scale', 0.5)",0.7113306711322787,0.8424203698760455
svc,"(1.0, 'poly', 2, 'scale', -0.5)",0.7113306711322787,0.8424203698760455
svc,"(1.0, 'poly', 2, 'scale', 0.0)",0.7113306711322787,0.8424203698760455
svc,"(1.25, 'poly', 3, 'auto', 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.25, 'poly', 3, 'auto', -0.5)",0.7135280367624128,0.8444513762302106
svc,"(1.25, 'poly', 3, 'auto', 0.5)",0.710862214959239,0.8420369510770556
svc,"(1.5, 'poly', 4, 0.15, -0.5)",0.6946544609311505,0.8079646078010593
svc,"(0.5, 'poly', 3, 0.25, -0.5)",0.7332922333223417,0.8416439289129607
svc,"(0.5, 'poly', 3, 0.25, 0.0)",0.7346732206168873,0.8428685043075681
svc,"(0.5, 'poly', 3, 0.25, 0.5)",0.7318464942364877,0.8404619412300631
svc,"(1.5, 'poly', 4, 0.15, 0.0)",0.6951688275795886,0.8087274111754824
svc,"(1.5, 'poly', 4, 0.15, 0.5)",0.7033028444496303,0.813542408402412
svc,"(1.25, 'sigmoid', 3, 0.3, -0.5)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'sigmoid', 3, 0.3, 0.0)",0.4362982156734455,0.6811670095133241
svc,"(1.25, 'sigmoid', 3, 0.3, 0.5)",0.4362982156734455,0.6811670095133241
svc,"(0.75, 'rbf', 3, 'scale', 0)",0.7326716342412927,0.8445501807307088
svc,"(0.75, 'poly', 3, 0.15, -0.5)",0.7239345388396576,0.8436084614916544
svc,"(0.75, 'poly', 3, 0.15, 0.0)",0.7249641616723359,0.8442509143139059
svc,"(0.75, 'poly', 3, 0.15, 0.5)",0.7263443801049527,0.8454707766526216
svc,"(0.75, 'poly', 5, 0.3, -0.5)",0.6841596517810609,0.8001418757467145
svc,"(0.75, 'poly', 5, 0.3, 0.0)",0.7037819521343276,0.8142097729266878
svc,"(0.75, 'poly', 5, 0.3, 0.5)",0.7023210599505132,0.8139411302178226
svc,"(1.0, 'poly', 1, 'scale', 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 'scale', 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 'scale', -0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.25, 'poly', 4, 0.25, -0.5)",0.6939247335683791,0.8053662428535835
svc,"(1.25, 'poly', 4, 0.25, 0.0)",0.677141068026214,0.7939500807350959
svc,"(1.25, 'poly', 4, 0.25, 0.5)",0.6909838026550783,0.8023453941755414
svc,"(1.5, 'poly', 1, 0.25, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.5, 'poly', 1, 0.25, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.5, 'poly', 1, 0.25, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 2, 0.25, 0.0)",0.7199590011220166,0.8425776887305196
svc,"(1.0, 'poly', 2, 0.25, 0.5)",0.7199590011220166,0.8425776887305196
svc,"(1.0, 'poly', 2, 0.25, -0.5)",0.7199590011220166,0.8425776887305196
svc,"(1.5, 'poly', 3, 0.25, -0.5)",0.7199700487182711,0.8276003918617126
svc,"(1.5, 'poly', 3, 0.25, 0.0)",0.7256354756698136,0.8317353916983907
svc,"(1.5, 'poly', 3, 0.25, 0.5)",0.7201451926710678,0.8275676668099421
svc,"(1.5, 'rbf', 3, 'auto', 0)",0.7161416690498731,0.8475788231279199
svc,"(1.25, 'poly', 4, 'auto', 0.0)",0.7093622381219865,0.8409423624963029
svc,"(1.25, 'poly', 4, 'auto', -0.5)",0.710862214959239,0.8420369510770556
svc,"(1.25, 'poly', 4, 'auto', 0.5)",0.7065740504085865,0.839071367270484
svc,"(1.25, 'poly', 4, 'scale', 0.5)",0.6736198324793601,0.7885241055718137
svc,"(1.25, 'poly', 4, 'scale', -0.5)",0.6687212943801988,0.786901740455292
svc,"(1.25, 'poly', 4, 'scale', 0.0)",0.6909636753611055,0.8040124604353278
svc,"(0.75, 'rbf', 3, 0.25, 0)",0.7326716342412927,0.8445501807307088
svc,"(0.75, 'poly', 4, 'auto', 0.0)",0.7108068545237136,0.8420735154687634
svc,"(0.75, 'poly', 4, 'auto', -0.5)",0.710862214959239,0.8420369510770556
svc,"(0.75, 'poly', 4, 'auto', 0.5)",0.7072788635972104,0.8393970043397699
svc,"(1.5, 'poly', 3, 'auto', 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.25, 'poly', 3, 0.25, -0.5)",0.7285248080363911,0.8338520103689814
svc,"(0.75, 'poly', 4, 'scale', 0.5)",0.6723761366235952,0.7873376242268229
svc,"(0.75, 'poly', 4, 'scale', -0.5)",0.6708901124938313,0.7884253096673497
svc,"(0.75, 'poly', 4, 'scale', 0.0)",0.6909636753611055,0.8040124604353278
svc,"(1.25, 'poly', 3, 0.25, 0.0)",0.7221166411445661,0.8294132523373624
svc,"(1.25, 'poly', 3, 0.25, 0.5)",0.7181134747432114,0.8264701753865593
svc,"(1.0, 'poly', 4, 0.2, -0.5)",0.6993510727760626,0.81196281118086
svc,"(1.0, 'poly', 4, 0.2, 0.0)",0.6835735866203434,0.7978971961924204
svc,"(1.0, 'poly', 4, 0.2, 0.5)",0.6705309644245562,0.7862289688274554
svc,"(1.0, 'poly', 1, 0.25, 0.0)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 0.25, 0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.0, 'poly', 1, 0.25, -0.5)",0.7121887723887377,0.8432420615895664
svc,"(1.5, 'poly', 2, 0.15, -0.5)",0.707615459721438,0.8336454987664665
svc,"(1.5, 'poly', 2, 0.15, 0.0)",0.707615459721438,0.8336454987664665
svc,"(1.5, 'poly', 2, 0.15, 0.5)",0.707615459721438,0.8336454987664665
svc,"(1.25, 'poly', 3, 'scale', 0.5)",0.723037758357796,0.826719109985738
svc,"(1.25, 'poly', 3, 'scale', -0.5)",0.7221265379476987,0.8268548801769773
svc,"(1.25, 'poly', 3, 'scale', 0.0)",0.7193662198239014,0.8251128732724322
svc,"(1.25, 'poly', 5, 0.2, -0.5)",0.6929351332835146,0.8048730738512591
svc,"(1.25, 'poly', 5, 0.2, 0.0)",0.6891222588475078,0.8027216648468809
svc,"(1.25, 'poly', 5, 0.2, 0.5)",0.6871510508836036,0.801250526225073
svc,"(1.5, 'poly', 2, 0.35, -0.5)",0.7148853768609292,0.8445455269546718
svc,"(1.5, 'poly', 2, 0.35, 0.0)",0.7182682524765985,0.8472620688955282
svc,"(1.5, 'poly', 2, 0.35, 0.5)",0.7182682524765985,0.8472620688955282
svc,"(1.5, 'poly', 4, 0.25, -0.5)",0.6939247335683791,0.8053662428535835
svc,"(1.5, 'poly', 4, 0.25, 0.0)",0.6758422635573923,0.7928110675965891
svc,"(1.5, 'poly', 4, 0.25, 0.5)",0.6909838026550783,0.8023453941755414
svc,"(0.5, 'poly', 1, 0.25, 0.5)",0.7135280367624128,0.8444513762302106
svc,"(0.5, 'poly', 1, 0.25, -0.5)",0.7135280367624128,0.8444513762302106
svc,"(0.5, 'poly', 1, 0.25, 0.0)",0.7135280367624128,0.8444513762302106
svc,"(1.25, 'poly', 1, 0.35, -0.5)",0.710862214959239,0.8420369510770556
svc,"(1.25, 'poly', 1, 0.35, 0.0)",0.710862214959239,0.8420369510770556
